,Questions,References,Responses,Node_0,Node_1,Score_0,Score_1
85,证券发行人可以向参与认购的投资者提供财务资助吗？,"发行人和承销商及相关人员不得有下列行为： 
（五）直接或通过其利益相关方向参与认购的投资者提供财务资助或者补偿；","No, according to the given context, securities issuers are not allowed to provide financial assistance to investors participating in the subscription.","首次公开发行证券，可以实施战略配售。
参与战略配售的投资者不得参与本次公开发行证券网上发行与网下发行，但证券投资基金管理人管理的未参与战略配售的公募基金、社保基金、养老金、年金基金除外。参与战略配售的投资者应当按照最终确定的发行价格认购其承诺认购数量的证券，并承诺获得本次配售的证券持有期限不少于十二个月，持有期限自本次公开发行的证券上市之日起计算。
参与战略配售的投资者在承诺的持有期限内，可以按规定向证券金融公司借出获得配售的证券。借出期限届满后，证券金融公司应当将借入的证券返还给参与战略配售的投资者。
参与战略配售的投资者应当使用自有资金认购，不得接受他人委托或者委托他人参与配售，但依法设立并符合特定投资目的的证券投资基金等除外。",上市公司向特定对象发行证券的，上市公司及其控股股东、实际控制人、主要股东不得向发行对象做出保底保收益或者变相保底保收益承诺，也不得直接或者通过利益相关方向发行对象提供财务资助或者其他补偿。,0.6568866559493983,0.6562804602381925
86,券商承销证券有哪几种方式？,证券公司承销证券，应当依照《证券法》第二十六条的规定采用包销或者代销方式。,券商承销证券有两种方式，分别是证券代销和证券包销。,"发行人向不特定对象发行的证券，法律、行政法规规定应当由证券公司承销的，发行人应当同证券公司签订承销协议。证券承销业务采取代销或者包销方式。
证券代销是指证券公司代发行人发售证券，在承销期结束时，将未售出的证券全部退还给发行人的承销方式。
证券包销是指证券公司将发行人的证券按照协议全部购入或者在承销期结束时将售后剩余证券全部自行购入的承销方式。","证券公司承销证券，应当同发行人签订代销或者包销协议，载明下列事项：
（一）当事人的名称、住所及法定代表人姓名；
（二）代销、包销证券的种类、数量、金额及发行价格；
（三）代销、包销的期限及起止日期；
（四）代销、包销的付款方式及日期；
（五）代销、包销的费用和结算办法；
（六）违约责任；
（七）国务院证券监督管理机构规定的其他事项。",0.7969850569255348,0.780726321146563
87,采用代销方式发行证券时发行失败了怎么办？,证券发行采用代销方式的，应当在发行公告或者认购邀请书中披露发行失败后的处理措施。证券发行失败后，主承销商应当协助发行人按照发行价并加算银行同期存款利息返还证券认购人。,发行失败时，发行人应按照发行价并加算银行同期存款利息返还股票认购人。主承销商也应协助发行人按照同样的方式返还证券认购人。,股票发行采用代销方式，代销期限届满，向投资者出售的股票数量未达到拟公开发行股票数量百分之七十的，为发行失败。发行人应当按照发行价并加算银行同期存款利息返还股票认购人。,证券发行采用代销方式的，应当在发行公告或者认购邀请书中披露发行失败后的处理措施。证券发行失败后，主承销商应当协助发行人按照发行价并加算银行同期存款利息返还证券认购人。,0.8480145587995596,0.8458456553674715
88,可以以包销的方式进行配股吗？,"不可以。
上市公司向特定对象发行证券未采用自行销售方式或者上市公司向原股东配售股份（以下简称配股）的，应当采用代销方式。",可以以包销的方式进行配股。,"上市公司配股的，应当向股权登记日登记在册的股东配售，且配售比例应当相同。
上市公司向不特定对象募集股份（以下简称增发）或者向不特定对象发行可转换公司债券的，可以全部或者部分向原股东优先配售，优先配售比例应当在发行公告中披露。
网上投资者在申购可转换公司债券时无需缴付申购资金。","上市公司向特定对象发行证券未采用自行销售方式或者上市公司向原股东配售股份（以下简称配股）的，应当采用代销方式。
上市公司向特定对象发行证券采用自行销售方式的，应当遵守中国证监会和证券交易所的相关规定。",0.7253010846999352,0.7242019577862839
89,上市公司存在经股东大会表决通过但未实施的利润分配方案时可以发行证券吗？,"不可以。
上市公司发行证券，存在利润分配方案、公积金转增股本方案尚未提交股东大会表决或者虽经股东大会表决通过但未实施的，应当在方案实施后发行。相关方案实施前，主承销商不得承销上市公司发行的证券。
利润分配方案实施完毕时间为股息、红利发放日，公积金转增股本方案实施完毕时间为除权日。",上市公司存在经股东大会表决通过但未实施的利润分配方案时是不可以发行证券的。,"上市公司发行证券，存在利润分配方案、公积金转增股本方案尚未提交股东大会表决或者虽经股东大会表决通过但未实施的，应当在方案实施后发行。相关方案实施前，主承销商不得承销上市公司发行的证券。
利润分配方案实施完毕时间为股息、红利发放日，公积金转增股本方案实施完毕时间为除权日。","上市公司应当在章程中明确分配现金股利的具体安排和决策程序，依法保障股东的资产收益权。
上市公司当年税后利润，在弥补亏损及提取法定公积金后有盈余的，应当按照公司章程的规定分配现金股利。",0.7927887883849114,0.7583163882315861
90,证券承销过程中的资料需要保存多久？,承销商应当保留推介、定价、配售等承销过程中的相关资料至少三年并存档备查，包括推介宣传材料、路演现场录音等，如实、全面反映询价、定价和配售过程。,证券承销过程中的资料需要保存至少三年并存档备查。,证券服务机构应当妥善保存客户委托文件、核查和验证资料、工作底稿以及与质量控制、内部管理、业务经营有关的信息和资料，任何人不得泄露、隐匿、伪造、篡改或者毁损。上述信息和资料的保存期限不得少于十年，自业务委托结束之日起算。,"发行人和主承销商在推介过程中不得夸大宣传，或者以虚假广告等不正当手段诱导、误导投资者，不得披露除招股意向书等公开信息以外的发行人其他信息。
承销商应当保留推介、定价、配售等承销过程中的相关资料至少三年并存档备查，包括推介宣传材料、路演现场录音等，如实、全面反映询价、定价和配售过程。",0.6207769157676684,0.6169935068594974
91,ipo证券发行人在证券承销过程中需要公开披露哪些信息？,"首次公开发行证券的发行人和主承销商应当在发行和承销过程中公开披露以下信息，并遵守证券交易所的相关规定： 
 （一）招股意向书刊登首日，应当在发行公告中披露发行定价方式、定价程序、参与网下询价投资者条件、证券配售原则、配售方式、有效报价的确定方式、中止发行安排、发行时间安排和路演推介相关安排等信息；发行人股东进行老股转让的，还应当披露预计老股转让的数量上限，老股转让股东名称及各自转让老股数量，并明确新股发行与老股转让数量的调整机制； 
 （二）网上申购前，应当披露每位网下投资者的详细报价情况，包括投资者名称、申购价格及对应的拟申购数量；剔除最高报价有关情况；剔除最高报价后网下投资者报价的中位数和加权平均数以及公募基金、社保基金、养老金、年金基金、保险资金和合格境外投资者资金报价的中位数和加权平均数；有效报价和发行价格或者价格区间的确定过程；发行价格或者价格区间及对应的市盈率；按照发行价格计算的募集资金情况，所筹资金不能满足使用需求的，还应当披露相关投资风险；网下网上的发行方式和发行数量；回拨机制；中止发行安排；申购缴款要求等。已公告老股转让方案的，还应当披露老股转让和新股发行的确定数量，老股转让股东名称及各自转让老股数量，并提示投资者关注，发行人将不会获得老股转让部分所得资金； 
 （三）采用询价方式且存在以下情形之一的，应当在网上申购前发布投资风险特别公告，详细说明定价合理性，提示投资者注意投资风险：发行价格对应市盈率超过同行业上市公司二级市场平均市盈率的；发行价格超过剔除最高报价后网下投资者报价的中位数和加权平均数，以及剔除最高报价后公募基金、社保基金、养老金、年金基金、保险资金和合格境外投资者资金报价中位数和加权平均数的孰低值的；发行价格超过境外市场价格的；发行人尚未盈利的； 
 （四）在发行结果公告中披露获配投资者名称以及每个获配投资者的报价、申购数量和获配数量等，并明确说明自主配售的结果是否符合事先公布的配售原则；对于提供有效报价但未参与申购，或实际申购数量明显少于报价时拟申购量的投资者应当列表公示并着重说明；披露网上、网下投资者获配未缴款金额以及主承销商的包销比例，列表公示获得配售但未足额缴款的网下投资者；披露保荐费用、承销费用、其他中介费用等发行费用信息； 
 （五）实施战略配售的，应当在网下配售结果公告中披露参与战略配售的投资者的名称、认购数量及持有期限等情况。",发行人在证券承销过程中需要公开披露真实、准确、完整、及时的信息。这些信息应当符合中国证监会规定的要求，并包括发行人和承销商编制的信息披露文件以及发行人和主承销商在发行过程中公告的信息。这些信息应当在证券交易所网站和符合中国证监会规定条件的媒体上发布，并置备于公司住所和证券交易所，供社会公众查阅。在信息披露过程中，发行人和承销商不得有虚假记载、误导性陈述或者重大遗漏。,发行人和主承销商在发行过程中，应当按照中国证监会规定的要求编制信息披露文件，履行信息披露义务。发行人和承销商在发行过程中披露的信息，应当真实、准确、完整、及时，不得有虚假记载、误导性陈述或者重大遗漏。,发行人和主承销商在发行过程中公告的信息，应当在证券交易所网站和符合中国证监会规定条件的媒体发布，同时将其置备于公司住所、证券交易所，供社会公众查阅。,0.8008162444087494,0.7811744533862299
92,发行人尚未盈利的，可以不披露发行市盈率吗？,"可以。
发行人和主承销商在披露发行市盈率时，应当同时披露发行市盈率的计算方式。在进行市盈率比较分析时，应当合理确定发行人行业归属，并分析说明行业归属的依据。存在多个市盈率口径时，应当充分列示可供选择的比较基准，并按照审慎、充分提示风险的原则选取和披露行业平均市盈率。发行人还可以同时披露市净率等反映发行人所在行业特点的估值指标。发行人尚未盈利的，可以不披露发行市盈率及与同行业市盈率比较的相关信息，但应当披露市销率、市净率等反映发行人所在行业特点的估值指标。",发行人尚未盈利的情况下，可以选择不披露发行市盈率。,"发行人和主承销商在披露发行市盈率时，应当同时披露发行市盈率的计算方式。在进行市盈率比较分析时，应当合理确定发行人行业归属，并分析说明行业归属的依据。存在多个市盈率口径时，应当充分列示可供选择的比较基准，并按照审慎、充分提示风险的原则选取和披露行业平均市盈率。发行人
还可以同时披露市净率等反映发行人所在行业特点的估值指标。发行人尚未盈利的，可以不披露发行市盈率及与同行业市盈率比较的相关信息，但应当披露市销率、市净率等反映发行人所在行业特点的估值指标。",发行人尚未盈利的，应当充分披露尚未盈利的成因，以及对公司现金流、业务拓展、人才吸引、团队稳定性、研发投入、战略性投入、生产经营可持续性等方面的影响。,0.8338177027813868,0.7926973250493807
93,保荐人尽职调查指的是什么？,本准则所称尽职调查是指保荐人对拟推荐境内公开发行股票、可转换债券、存托凭证等公司（以下简称“发行人”）进行的尽职调查，通过执行合理、必要的尽职调查程序，以合理确信发行人符合《证券法》等法律法规的相关规定，符合中国证监会及证券交易所规定的发行条件、上市条件和信息披露要求，以及合理确信公开披露文件已结合发行人实际情况进行有针对性的风险提示，充分披露了投资者作出价值判断和投资决策所必需的信息，信息披露真实、准确、完整。,保荐人尽职调查是指保荐人在发行证券和上市过程中进行的一系列调查和核查工作。这些工作包括获取充分和适当的证据，对相关事项进行明确的核查结论，并通过工作底稿进行验证。保荐人应该保持职业怀疑，确保尽职调查工作底稿真实、准确、完整地反映尽职调查工作的结果。在尽职调查中，保荐人需要调查发行人对外担保的情况，包括担保金额占发行人净资产、总资产的比重，担保决策过程是否符合法律法规和公司章程的规定，以及被担保方是否具备履行义务的能力和是否提供了必要的反担保。此外，保荐人还需要调查发行人是否存在重大仲裁、诉讼和其他重大或有事项，并分析这些事项对发行人财务状况、盈利能力和持续经营的重大影响。,"除另有规定的，同次发行的证券，其发行保荐和上市保荐应由同一保荐人担任，保荐人应在尽职调查基础上形成发行保荐书、上市保荐书和发行保荐工作报告。同时，保荐人应当建立尽职调查工作底稿制度。工作底稿应当真实、准确、完整地反映尽职调查工作。
保荐人开展尽职调查工作，应当保持职业怀疑，以获取充分和适当的证据为基础出具对相关事项的明确的核查结论，核查的方法和结论应当能够通过工作底稿进行验证。","取得发行人对外担保的相关资料，计算担保金额占发行人净资产、总资产的比重，调查担保决策过程是否符合有关法律法规和公司章程等的规定，分析一旦发生损失，对发行人正常生产经营和盈利状况的影响程度，调查被担保方是否具备履行义务的能力、是否提供了必要的反担保。通过上下游和关联方走访等，核查发行人是否存在其他未披露的担保。
调查发行人是否存在重大仲裁、诉讼和其他重大或有事项，并分析该等已决和未决仲裁、诉讼与其他重大或有事项对发行人财务状况、盈利能力及持续经营的重大影响。",0.7761978751350539,0.7750847474622433
94,在尽职调查过程中存在无法执行的核查程序怎么办？,尽职调查过程中若存在确实无法执行的核查程序，保荐人应详细说明情况、具体原因、合理性以及所采取的替代措施，并评估替代措施的充分适当性。,保荐人应详细说明情况、具体原因、合理性以及所采取的替代措施，并评估替代措施的充分适当性。,尽职调查过程中若存在确实无法执行的核查程序，保荐人应详细说明情况、具体原因、合理性以及所采取的替代措施，并评估替代措施的充分适当性。,"通过查询网站、访谈相关人员、相关人员出具书面声明、必要时走访司法机关、政府部门等方法，调查董监高人员和核心技术人员最近三年内是否存在受到行政处罚、刑事处罚，或者因涉嫌犯罪正在被司法机关立案侦查或者涉嫌违法违规正在被中国证监会立案调查且尚未有明确结论意见的情形。
通过查询网站、访谈相关人员、相关主体出具书面声明、必要时走访司法机关和政府部门等方法，调查发行人控股股东、实际控制人最近三年内是否存在违法行为。
如存在，查阅行政处罚、刑事诉讼程序文件等，分析违法行为的行为性质及情节严重程度，核查是否构成贪污、贿赂、侵占财产、挪用财产或者破坏社会主义市场经济秩序的刑事犯罪或重大违法行为。",0.7932111335873471,0.7017183653899206
95,同次发行的证券，其发行保荐和上市保荐可以由不同的人担任吗？,除另有规定的，同次发行的证券，其发行保荐和上市保荐应由同一保荐人担任，保荐人应在尽职调查基础上形成发行保荐书、上市保荐书和发行保荐工作报告。同时，保荐人应当建立尽职调查工作底稿制度。工作底稿应当真实、准确、完整地反映尽职调查工作。,同次发行的证券，其发行保荐和上市保荐应由同一保荐人担任。,"除另有规定的，同次发行的证券，其发行保荐和上市保荐应由同一保荐人担任，保荐人应在尽职调查基础上形成发行保荐书、上市保荐书和发行保荐工作报告。同时，保荐人应当建立尽职调查工作底稿制度。工作底稿应当真实、准确、完整地反映尽职调查工作。
保荐人开展尽职调查工作，应当保持职业怀疑，以获取充分和适当的证据为基础出具对相关事项的明确的核查结论，核查的方法和结论应当能够通过工作底稿进行验证。","发行人申请公开发行股票、可转换为股票的公司债券，依法采取承销方式的，或者公开发行法律、行政法规规定实行保荐制度的其他证券的，应当聘请证券公司担任保荐人。
保荐人应当遵守业务规则和行业规范，诚实守信，勤勉尽责，对发行人的申请文件和信息披露资料进行审慎核查，督导发行人规范运作。
保荐人的管理办法由国务院证券监督管理机构规定。",0.7467830242436364,0.7405855748681929
96,保荐人在尽职调查过程中，如何调查董监高人员任职情况及任职资格？,通过查阅有关三会文件、公司章程等，了解董监高人员任职情况，核查相关董监高人员的任职是否符合法律法规规章规定的任职资格，及聘任是否符合公司章程规定的任免程序和内部人事聘用制度；调查董监高人员相互之间是否存在亲属关系。对于董监高人员任职资格需经监管部门核准或备案的，应获得相关核准或备案文件。,通过查阅有关三会文件、公司章程等，了解董监高人员任职情况，核查相关董监高人员的任职是否符合法律法规规章规定的任职资格，及聘任是否符合公司章程规定的任免程序和内部人事聘用制度。对于董监高人员任职资格需经监管部门核准或备案的，应获得相关核准或备案文件。,通过查阅有关三会文件、公司章程等，了解董监高人员任职情况，核查相关董监高人员的任职是否符合法律法规规章规定的任职资格，及聘任是否符合公司章程规定的任免程序和内部人事聘用制度；调查董监高人员相互之间是否存在亲属关系。对于董监高人员任职资格需经监管部门核准或备案的，应获得相关核准或备案文件。,通过访谈董监高人员、组织董监高人员学习并参加监管机构考试等方法，调查董监高人员是否已掌握进入证券市场应具备的法律、行政法规和相关知识，是否已知悉上市公司及其董监高人员的法定义务和责任，是否具备足够的诚信水准和管理上市公司的能力及经验。,0.843671504679102,0.8260074237299745
97,保荐人在尽职调查过程中，如何调查实际控制人情况？,"通过调查发行人公司章程、股东签署的与发行人有关的协议或其他安排，了解股东出资比例、表决权比例的情况，获取发行人的股东大会记录（会议通知、股东出席会议情况、表决过程、审议结果、董事提名和任命等）、董事会（会议通知、议案提议、高级管理人员提名、表决意见等重大决策的提议和表决过程等）、监事会的运作情况，及发行人经营管理的实际运作情况，同时查阅主要股东的诉讼和仲裁文书，调查发行人对其自身控制权认定是否合理，是否符合发行人实际情况。
发行人存在实际控制人的，核查实际控制人是否存在影响发行人正常经营管理、侵害发行人及其他股东的利益、违反相关法律法规等情形。核查实际控制人最近三年是否存在贪污、贿赂、侵占财产、挪用财产或者破坏社会主义市场经济秩序的刑事犯罪，是否存在欺诈发行、重大信息披露违法或者其他涉及国家安全、公共安全、生态安全、生产安全、公众健康安全等领域的重大违法行为。实际控制人设立在国际避税区且持股层次复杂的，应核查发行人设置此类架构的原因、合法性及合理性，持股的真实性，是否存在委托持股、信托持股，是否有各种影响控制权的约定，股东的出资来源，发行人控股股东和受控股股东、实际控制人支配的股东所持发行人的股份权属是否清晰，发行人治理和内控的有效性。若实际控制人为法人，查阅实际控制人的营业执照（如有）、章程或有关治理规则、财务报告及审计报告（如有），访谈实际控制人管理层，调查或了解实际控制人的主营业务或主要职能、股权结构、生产经营等情况；若实际控制人为自然人的，了解和取得实际控制人的国籍、身份证信息、住址等资料。发行人存在共同控制人或无实际控制人的，核查相关股东的锁定是否符合规定，并关注报告期内发行人实际控制人的变化情况。若发行人存在实际控制人变更或存在导致控制权可能变更的重大权属纠纷情形的，判断是否符合相关的发行上市条件、发行人是否已针对保持控制权稳定做出相关安排。","The sponsor should investigate the situation of the actual controller during the due diligence process. This includes checking whether the actual controller has any criminal records related to embezzlement, bribery, property misappropriation, or other major illegal activities. The sponsor should also examine whether the actual controller has set up complex ownership structures in international tax havens and investigate the reasons, legality, and legitimacy of such structures. Additionally, the sponsor should verify the ownership of shares, the clarity of shareholding rights, and the effectiveness of the issuer's governance and internal control. If the actual controller is a legal entity, the sponsor should review its business license, articles of association or relevant governance rules, financial reports, and audit reports. If the actual controller is a natural person, the sponsor should obtain information such as nationality, ID card information, and address.",取得发行人改制方案，分析发行人、控股股东或实际控制人及其控制的企业的历史沿革、资产、人员、财务报告及主营业务构成等相关情况，必要时取得上述单位相关生产、库存、销售等资料，并通过询问发行人及其控股股东或实际控制人、实地走访生产或销售部门等方法，调查发行人控股股东或实际控制人及其控制的企业实际业务范围、销售区域、业务性质、客户对象、供应商、核心技术、商标商号、与发行人产品的可替代性、竞争性等情况，按照实质重于形式的原则判断是否构成同业竞争，分析和判断同业竞争情况对发行人的影响，并核查发行人控股股东或实际控制人是否对避免同业竞争做出承诺以及承诺的履行情况。如发行人控股股东或实际控制人是自然人，参照上述方法，核查控股股东、实际控制人亲属所控制企业是否与发行人完全独立，报告期内与发行人是否存在交易或资金往来，销售渠道、主要客户及供应商是否存在重叠或潜在利益关系，以及发行人未来有无收购安排。,"通过调查发行人公司章程、股东签署的与发行人有关的协议或其他安排，了解股东出资比例、表决权比例的情况，获取发行人的股东大会记录（会议通知、股东出席会议情况、表决过程、审议结果、董事提名和任命等）、董事会（会议通知、议案提议、高级管理人员提名、表决意见等重大决策的提议和表决过程等）、监事会的运作情况，及发行人经营管理的实际运作情况，同时查阅主要股东的诉讼和仲裁文书，调查发行人对其自身控制权认定是否合理，是否符合发行人实际情况。
发行人存在实际控制人的，核查实际控制人是否存在影响发行人正常经营管理、侵害发行人及其他股东的利益、违反相关法律法规等情形。核查实际控制人最近三年是否存在贪污、贿赂、侵占财产、挪用财产或者破坏社会主义市场经济秩序的刑事犯罪，是否存在欺诈发行、重大信息披露违法或者其他涉及国家安全、公共安全、生态安全、生产安全、公众健康安全等领域的重大违法行为。实际控制人设立在国际避税区且持股层次复杂的，应核查发行人设置此类架构的原因、合法性及合理性，持股的真实性，是否存在委托持股、信托持股，是否有各种影响控制权的约定，股东的出资来源，发行人控股股东和受控股股东、实际控制人支配的股东所持发行人的股份权属是否清晰，发行人治理和内控的有效性。
若实际控制人为法人，查阅实际控制人的营业执照（如有）、章程或有关治理规则、财务报告及审计报告（如有），访谈实际控制人管理层，调查或了解实际控制人的主营业务或主要职能、股权结构、生产经营等情况；若实际控制人为自然人的，了解和取得实际控制人的国籍、身份证信息、住址等资料。发行人存在共同控制人或无实际控制人的，核查相关股东的锁定是否符合规定，并关注报告期内发行人实际控制人的变化情况。若发行人存在实际控制人变更或存在导致控制权可能变更的重大权属纠纷情形的，判断是否符合相关的发行上市条件、发行人是否已针对保持控制权稳定做出相关安排。",0.8013920422559477,0.8000852936338876
98,保荐人在尽职调查过程中，如何调查主要股东情况？,通过现场调查、咨询中介机构、走访市场监督管理部门，查阅发行人主要股东的营业执照、公司章程、财务报告及审计报告（如有），访谈相关人员，获取私募基金股东及管理人备案资料，获取自然人股东的国籍、身份信息、住址等方式，调查或了解以下事项：主要股东的主营业务、股权结构、生产经营等情况；主要股东之间关联关系或一致行动情况及相关协议；股东与发行人的董监高人员是否存在关联关系，股东与本次发行的中介机构及其负责人、高级管理人员、经办人员是否存在关联关系；主要股东所持发行人股份的质押、冻结和其它限制权利的情况；股东是否存在委托持股、信托持股、代持等情况；历史股权演变过程中是否存在对赌协议等类似安排，是否存在其他特殊股东权利安排；是否存在法律法规禁止持股的主体持有发行人股份的情形；控股股东和受控股股东、实际控制人支配的股东持有的发行人股份重大权属纠纷情况和变化情况。通过走访主管机构、查阅相应的监管记录、访谈发行人及其主要股东的董监高人员及员工等方法，调查主要股东是否存在影响发行人正常经营管理、侵害发行人及其他股东的利益、违反相关法律法规等情形；通过调查入股协议、交易价格、资金来源、支付方式等客观资料，核查违规入股、入股交易价格明显异常等情形；通过核查股东身份证件、工作经历等资料，调查股东是否存在中国证监会系统离职人员入股情形。,通过查阅发行人及其控股股东或实际控制人的股权结构和组织结构，获取持股5%以上自然人、董监高人员声明及调查文件，以及对外投资企业网络查询等方法，来确认发行人的关联方及关联方关系。此外，还可以通过访谈、网络查询以及交叉信息比对等方式，获取发行人主要股东的成立时间、注册资本、注册地址、实际经营场所、股权结构、董监高人员、联系方式等信息，以调查发行人与主要股东是否存在关联关系。,"通过访谈发行人董监高人员、查阅发行人及其控股股东或实际控制人的股权结构和组织结构、查阅发行人重要会议记录和重要合同以及获取持股5%以上自然人、董监高人员声明及调查文件、对外投资企业网络查询等方法，按照《公司法》《企业会计准则》和中国证监会、证券交易所的相关规定，按照实质重于形式原则确认发行人的关联方及关联方关系，通过有资质的第三方商业信用机构查询或调档查阅关联方的市场主体登记资料。
通过获取发行人主要客户、供应商的成立时间、注册资本、注册地址、实际经营场所、股权结构、董监高人员、联系方式、市场主体登记经办人员等信息，访谈、网络查询以及交叉信息比对等方式，调查发行人主要供应商、客户与发行人是否存在关联关系。调查发行人董监高人员及其他核心人员是否在关联方任职、领取薪酬，是否存在由关联方直接或间接委派等情况。",取得发行人改制方案，分析发行人、控股股东或实际控制人及其控制的企业的历史沿革、资产、人员、财务报告及主营业务构成等相关情况，必要时取得上述单位相关生产、库存、销售等资料，并通过询问发行人及其控股股东或实际控制人、实地走访生产或销售部门等方法，调查发行人控股股东或实际控制人及其控制的企业实际业务范围、销售区域、业务性质、客户对象、供应商、核心技术、商标商号、与发行人产品的可替代性、竞争性等情况，按照实质重于形式的原则判断是否构成同业竞争，分析和判断同业竞争情况对发行人的影响，并核查发行人控股股东或实际控制人是否对避免同业竞争做出承诺以及承诺的履行情况。如发行人控股股东或实际控制人是自然人，参照上述方法，核查控股股东、实际控制人亲属所控制企业是否与发行人完全独立，报告期内与发行人是否存在交易或资金往来，销售渠道、主要客户及供应商是否存在重叠或潜在利益关系，以及发行人未来有无收购安排。,0.8036346989316259,0.8010108528597514
99,保荐人在尽职调查过程中，如何调查股东出资情况？,"取得发行人设立时各发起人的营业执照（或身份证明文件）、财务报告等有关资料，核查发起人人数、住所、出资比例等是否符合法律、法规和其他有关规定；核查自然人发起人直接持股和间接持股的有关情况，关注其在发行人的任职情况，并关注其亲属在发行人的投资、任职情况；核查发起人股份转让情况。
通过咨询中介机构、询问发行人董监高人员及财务人员、查阅发行人注册登记资料、查阅股东出资验资资料以及出资后发行人与股东之间的交易记录等方法，调查发行人股份权属是否清晰，发行人股东的出资是否及时到位、出资方式是否合法，是否存在出资不实、虚假出资、抽逃出资等情况，相关股东是否因出资瑕疵受到过行政处罚或承担过刑事责任、是否构成重大违法违规行为；发行人股东出资瑕疵是否导致发行人股权存在纠纷或者潜在纠纷；存在出资瑕疵的，核查采取的补救措施；调查股东入股价格及定价依据，了解入股价格是否存在明显异常；调查股东出资资产的来源及合法性。发行人股东以技术出资的，调查出资技术是否涉及职务发明，权属是否清晰，是否存在争议或潜在纠纷，相关技术出资的程序是否合法合规，出资专利与公司主营业务是否相关，是否有效转化为技术成果、实现技术效益，技术出资作价是否合理，后续是否出现减值迹象。发行人股东以土地使用权出资的，调查出资相关土地的性质，是否需要补缴地价款，是否符合土地管理相关法律法规等。核查股东出资资产（包括房屋、土地、车辆、商标、专利等）的产权过户情况；对以实物、知识产权、土地使用权等非现金资产出资的，应查阅资产评估报告、国有资产评估结果核准或备案文件（如有），分析资产评估结果的合理性。
涉及债转股的，查阅债权、股权形成的相关资料及决策程序等，调查债权债务形成的真实性、定价公允性、债转股的合法合规性。债转股股东系依据对发行人业绩的定期考核逐步转股的，应当核查转股依据的充分性。",保荐人在尽职调查过程中，可以通过多种方法来调查股东出资情况。一种方法是取得发行人设立时各发起人的营业执照（或身份证明文件）、财务报告等有关资料，核查发起人人数、住所、出资比例等是否符合法律、法规和其他有关规定。此外，还可以通过咨询中介机构、询问发行人董监高人员及财务人员、查阅发行人注册登记资料、查阅股东出资验资资料以及出资后发行人与股东之间的交易记录等方法，调查发行人股份权属是否清晰，发行人股东的出资是否及时到位、出资方式是否合法，是否存在出资不实、虚假出资、抽逃出资等情况。还可以调查股东入股价格及定价依据，了解入股价格是否存在明显异常，以及调查股东出资资产的来源及合法性。如果股东以技术出资或土地使用权出资，还需要调查相关的技术出资或土地使用权的情况，包括权属是否清晰、是否存在争议或潜在纠纷，以及相关程序是否合法合规等。对于以实物、知识产权、土地使用权等非现金资产出资的股东，还应查阅资产评估报告、国有资产评估结果核准或备案文件（如有），分析资产评估结果的合理性。如果涉及债转股，还需要查阅债权、股权形成的相关资料及决策程序，调查债权债务形成的真实性、定价公允性、债转股的合法合规性。,"取得发行人设立时各发起人的营业执照（或身份证明文件）、财务报告等有关资料，核查发起人人数、住所、出资比例等是否符合法律、法规和其他有关规定；核查自然人发起人直接持股和间接持股的有关情况，关注其在发行人的任职情况，并关注其亲属在发行人的投资、任职情况；核查发起人股份转让情况。
通过咨询中介机构、询问发行人董监高人员及财务人员、查阅发行人注册登记资料、查阅股东出资验资资料以及出资后发行人与股东之间的交易记录等方法，调查发行人股份权属是否清晰，发行人股东的出资是否及时到位、出资方式是否合法，是否存在出资不实、虚假出资、抽逃出资等情况，相关股东是否因出资瑕疵受到过行政处罚或承担过刑事责任、是否构成重大违法违规行为；发行人股东出资瑕疵是否导致发行人股权存在纠纷或者潜在纠纷；存在出资瑕疵的，核查采取的补救措施；调查股东入股价格及定价依据，了解入股价格是否存在明显异常；调查股东出资资产的来源及合法性。发行人股东以技术出资的，调查出资技术是否涉及职务发明，权属是否清晰，是否存在争议或潜在纠纷，相关技术出资的程序是否合法合规，出资专利与公司主营业务是否相关，是否有效转化为技术成果、实现技术效益，技术出资作价是否合理，后续是否出现减值迹象。
发行人股东以土地使用权出资的，调查出资相关土地的性质，是否需要补缴地价款，是否符合土地管理相关法律法规等。
核查股东出资资产（包括房屋、土地、车辆、商标、专利等）的产权过户情况；对以实物、知识产权、土地使用权等非现金资产出资的，应查阅资产评估报告、国有资产评估结果核准或备案文件（如有），分析资产评估结果的合理性。
涉及债转股的，查阅债权、股权形成的相关资料及决策程序等，调查债权债务形成的真实性、定价公允性、债转股的合法合规性。债转股股东系依据对发行人业绩的定期考核逐步转股的，应当核查转股依据的充分性。",第十五条股东出资情况,0.8349808233921269,0.8098818280454623
